telefone;objetivo_profissional;email;codigo_profissional;nome;data_nascimento;sexo;pcd;endereco;titulo_profissional;area_atuacao;conhecimentos_tecnicos;certificacoes;outras_certificacoes;nivel_profissional;qualificacoes;experiencias;nivel_academico;nivel_ingles;nivel_espanhol;outro_idioma;cursos;atuacao
(11) 99338-9272;analista desenvolvedor;dr._lucas_brito@hotmail.com;46010;Dr. Lucas Brito;19-03-1957;Masculino;nao;sao paulo;analista desenvolvedor;desenvolvimento programacao;;;;;;;pos graduacao completo;intermediario;intermediario;-;internetecommerceweb;desenvolvimento programacao
(71) 95805-7759;analista de negocios;ana_clara_almeida@hotmail.com;46011;Ana Clara Almeida;22-02-1968;Masculino;nao;bahia;analista de negocios;processos negocios projetos qualidade testes;azure devops sql server jira software confluence gitlab bizagi modeler swagger api postman;;Scrum Product Owner Professional Certificate - SPOPC pela Certiprof;;;;pos graduacao completo;basico;intermediario;-;gestao empresarial;processos negocios projetos qualidade testes
(11) 99854-7452;net;luiz_felipe_castro@hotmail.com;46012;Luiz Felipe Castro;0000-00-00;;;sao paulo;net;;;;;;;;;;;-;;
(12) 93345-4593;gestor de projetos;matteo_sousa@gmail.com;46013;Matteo Sousa;17-10-1983;Masculino;nao;sao paulo;gestor de projetos;processos negocios;;;;;;;pos graduacao completo;avancado;nenhum;-;ciencia da computacao;processos negocios
(11) 95840-2085;consultor de sap btp;gustavo_rodrigues@gmail.com;46014;Gustavo Rodrigues;28-03-2000;Feminino;nao;sao paulo;consultor de sap btp;sap;;;;;;;ensino superior cursando;intermediario;basico;-;ciencias biomedicas;sap
(11) 99670-5062;analista de crm pleno;maria_sophia_barros@gmail.com;46015;Maria Sophia Barros;17-06-1994;Masculino;nao;sao paulo;analista de crm pleno;marketing;;;;;;;pos graduacao cursando;basico;nenhum;-;engenharia de telecomunicacoes;marketing
(11) 98856-5795;consultor sap pp;aylla_ferreira@hotmail.com;46016;Aylla Ferreira;13-03-1956;Masculino;nao;sao paulo;consultor sap pp;sap;;;;;;;ensino superior completo;intermediario;basico;-;engenharia industrial;sap
(11) 94646-2783;coordenador financeiro;sr._liam_freitas@gmail.com;46017;Sr. Liam Freitas;07-03-1970;Feminino;;sao paulo;coordenador financeiro;financeira controladoria;;;;;;;pos graduacao completo;intermediario;basico;-;administracao;financeira controladoria
(11) 99427-3531;analista financeiro;manuela_martins@hotmail.com;46018;Manuela Martins;18-06-1988;Feminino;nao;sao paulo;analista financeiro;administrativa;;;;;;;doutorado cursando;basico;basico;Português -;administracao de empresas;administrativa
(11) 97803-8319;gerente financeiro;srta._ana_beatriz_vargas@hotmail.com;46019;Srta. Ana Beatriz Vargas;24-08-1986;Masculino;nao;sao paulo;gerente financeiro;financeira controladoria;;;;;;;ensino superior completo;basico;basico;-;administracao de empresas;financeira controladoria
(11) 92477-2886;desenvolvedor net;eduardo_duarte@hotmail.com;46020;Eduardo Duarte;03-08-1997;Masculino;nao;sao paulo;desenvolvedor net;desenvolvimento programacao;;;;;;;ensino superior completo;avancado;;-;analise e desenvolvimento de sistemas;desenvolvimento programacao
(32) 91923-5342;analista de suporte ti;sr._bryan_cassiano@hotmail.com;46021;Sr. Bryan Cassiano;0000-00-00;;;minas gerais;analista de suporte ti;;;;;;;;;;;-;;
(32) 95523-9288;analista de suporte ti;benjamim_pires@gmail.com;46022;Benjamim Pires;0000-00-00;;;minas gerais;analista de suporte ti;;;;;;;;;;;-;;
(21) 92908-5274;devops;dr._rodrigo_casa_grande@hotmail.com;46023;Dr. Rodrigo Casa Grande;0000-00-00;;;rio de janeiro;devops;;;;;;;;;;;-;;
(11) 98971-9517;lider sap fi;maria_liz_das_neves@gmail.com;46024;Maria Liz das Neves;0000-00-00;;;sao paulo;lider sap fi;;;;;;;;;;;-;;
(11) 91603-1906;dev full stack;rafaela_gonçalves@gmail.com;46025;Rafaela Gonçalves;0000-00-00;;;sao paulo;dev full stack;;;;;;;;;;;-;;
(11) 99733-4280;supervisor tesouraria financeiro;sra._heloisa_pastor@gmail.com;46026;Sra. Heloisa Pastor;0000-00-00;;;sao paulo;supervisor tesouraria financeiro;;;;;;;;;;;-;;
(27) 92230-4656;analista de teste de software jr;vitória_silveira@gmail.com;46027;Vitória Silveira;10-04-1983;Masculino;nao;;analista de teste de software jr;desenvolvimento programacao qualidade testes suporte;;;;;;;ensino superior completo;intermediario;nenhum;Russo - Fluente;analise e desenvolvimento de sistemas;desenvolvimento programacao qualidade testes suporte
(12) 98662-7350;analista de ti;sra._olívia_cassiano@hotmail.com;46028;Sra. Olívia Cassiano;04-10-1995;Masculino;nao;sao paulo;analista de ti;suporte;;;;;;;ensino superior completo;intermediario;basico;-;engenharia da computacao;suporte
(11) 92724-3329;analista financeiro senior;luara_novaes@gmail.com;46029;Luara Novaes;22-02-1973;Masculino;nao;sao paulo;analista financeiro senior;financeira controladoria;;;;;;;pos graduacao completo;avancado;nenhum;-;gestao de negocios;financeira controladoria
(21) 95769-4917;dev full stack;vicente_pacheco@hotmail.com;46030;Vicente Pacheco;03-09-1982;Masculino;nao;rio de janeiro;dev full stack;desenvolvimento programacao;;;;;;;ensino superior completo;avancado;intermediario;Francês - Básico;ciencias economicas;desenvolvimento programacao
(16) 96933-8940;trainee technology risk consulting;rodrigo_casa_grande@gmail.com;46031;Rodrigo Casa Grande;12-04-1994;Masculino;nao;sao paulo;trainee technology risk consulting;governanca;;;;;;;ensino superior completo;avancado;basico;-;engenharia de agrimensura;governanca
(11) 99799-9391;analista financeiro contas a pagar;antonella_nogueira@hotmail.com;46032;Antonella Nogueira;12-05-1973;Feminino;nao;sao paulo;analista financeiro contas a pagar;financeira controladoria;;;;;;;pos graduacao completo;basico;nenhum;-;administracao de empresas;financeira controladoria
(11) 94145-9832;desenvolvedor fullstack;srta._ana_lívia_da_rocha@hotmail.com;46033;Srta. Ana Lívia da Rocha;13-03-1996;Masculino;nao;sao paulo;desenvolvedor fullstack;desenvolvimento programacao;;;;;;;ensino superior completo;intermediario;nenhum;-;analise e desenvolvimento de sistemas;desenvolvimento programacao
(21) 92130-2466;analista de sistemas senior;luiz_otávio_câmara@hotmail.com;46034;Luiz Otávio Câmara;07-02-1962;Masculino;nao;rio de janeiro;analista de sistemas senior;desenvolvimento programacao;;;;;;;pos graduacao cursando;basico;basico;-;gestao de projetos;desenvolvimento programacao
(11) 99143-5951;analista programador sistemas;arthur_gabriel_mendonça@hotmail.com;46035;Arthur Gabriel Mendonça;27-01-1984;Masculino;nao;sao paulo;analista programador sistemas;desenvolvimento programacao;;;;;;;ensino superior completo;basico;nenhum;-;analise de sistemas;desenvolvimento programacao
(11) 91214-4386;administrativo financeiro complianc;dr._vinicius_fogaça@hotmail.com;46036;Dr. Vinicius Fogaça;12-10-1970;Feminino;nao;sao paulo;administrativo financeiro complianc;administrativa comercial financeira controladoria gestao alocacao recursos novos negocios parcerias qualidade corporativa recursos humanos;;;;;;;pos graduacao cursando;intermediario;basico;Português - Fluente;gestao de projetos;administrativa comercial financeira controladoria gestao alocacao recursos novos negocios parcerias qualidade corporativa recursos humanos
(11) 97188-6069;net;bruna_andrade@gmail.com;46037;Bruna Andrade;0000-00-00;;;sao paulo;net;;;;;;;;;;;-;;
(12) 91192-3122;analista de suporte;olívia_guerra@gmail.com;46038;Olívia Guerra;09-06-2000;Feminino;nao;sao paulo;analista de suporte;infraestrutura sistemas ferramentas suporte;;;;;;;ensino superior completo;intermediario;nenhum;-;engenharia da computacao;infraestrutura sistemas ferramentas suporte
(81) 98770-2128;analista de qualidade de software;kamilly_carvalho@hotmail.com;46039;Kamilly Carvalho;0000-00-00;;;pernambuco;analista de qualidade de software;;;;;;;;;;;-;;
(84) 94920-1868;desenvolvedor full stack;lucca_nogueira@gmail.com;46040;Lucca Nogueira;0000-00-00;;;rio grande do norte;desenvolvedor full stack;;;;;;;;;;;-;;
(11) 98856-7257;dev full stack;ravy_cavalcante@hotmail.com;46041;Ravy Cavalcante;23-09-1982;Masculino;nao;sao paulo;dev full stack;desenvolvimento programacao;;;;;;;ensino superior completo;basico;nenhum;-;analise e desenvolvimento de sistemas;desenvolvimento programacao
(19) 92362-2927;lider administrativo financeiro;olivia_das_neves@hotmail.com;46042;Olivia das Neves;14-10-1992;Masculino;nao;sao paulo;lider administrativo financeiro;financeira controladoria;;;;;;;ensino superior completo;intermediario;basico;-;administracao;financeira controladoria
(98) 91287-6713;cientista de dados;sra._sarah_leão@gmail.com;46043;Sra. Sarah Leão;0000-00-00;;;maranhao;cientista de dados;;;;;;;;;;;-;;
(31) 97156-2540;fiscal;daniela_abreu@gmail.com;46044;Daniela Abreu;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(41) 97618-1297;programador power bi;sophie_macedo@gmail.com;46045;Sophie Macedo;0000-00-00;;;parana;programador power bi;;;;;;;;;;;-;;
(82) 92593-7828;power bi com ingles;heitor_almeida@hotmail.com;46046;Heitor Almeida;0000-00-00;;;alagoas;power bi com ingles;;;;;;;;;;;-;;
(31) 99542-6705;fiscal;laís_moraes@gmail.com;46047;Laís Moraes;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(31) 97370-4608;fiscal;ravi_lucca_freitas@gmail.com;46048;Ravi Lucca Freitas;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(11) 92763-7125;consultor sap fi;isabel_oliveira@gmail.com;46049;Isabel Oliveira;0000-00-00;;;sao paulo;consultor sap fi;;;;;;;;;;;-;;
(31) 98369-8640;fiscal;lívia_lima@hotmail.com;46050;Lívia Lima;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(31) 97476-8977;fiscal;juan_pinto@hotmail.com;46051;Juan Pinto;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(31) 94795-9643;fiscal;olívia_ramos@hotmail.com;46052;Olívia Ramos;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(11) 95128-3321;execultivo de contas;sr._guilherme_oliveira@hotmail.com;46053;Sr. Guilherme Oliveira;14-02-1983;Feminino;nao;sao paulo;execultivo de contas;comercial;;;;;;;ensino superior completo;basico;basico;Português - Fluente;processos gerenciais;comercial
(62) 91566-4875;sap mm;sr._kaique_vargas@hotmail.com;46054;Sr. Kaique Vargas;06-08-1985;Feminino;nao;goias;sap mm;sap;;;;;;;pos graduacao completo;basico;basico;-;;sap
(31) 94500-4649;fiscal;dr._rael_albuquerque@hotmail.com;46055;Dr. Rael Albuquerque;0000-00-00;;;minas gerais;fiscal;;;;;;;;;;;-;;
(24) 91687-2497;analista de suporte;ayla_costela@gmail.com;46056;Ayla Costela;17-12-1993;Masculino;nao;rio de janeiro;analista de suporte;seguranca informacao suporte;;;;;;;ensino superior incompleto;intermediario;basico;Português - Fluente;;seguranca informacao suporte
(11) 97939-5428;analista de testes;lorena_barbosa@hotmail.com;46057;Lorena Barbosa;11-08-1996;Feminino;nao;parana;analista de testes;qualidade testes;;;;;;;ensino superior completo;avancado;basico;Português - Fluente;analise e desenvolvimento de sistemas;qualidade testes
(11) 91486-4345;secretaria executiva bilingue fac;maria_flor_porto@gmail.com;46058;Maria Flor Porto;27-03-1979;Feminino;nao;sao paulo;secretaria executiva bilingue fac;administrativa;;;;;;;pos graduacao completo;avancado;basico;-;secretariado executivo;administrativa
(85) 95232-2297;desenvolvedor web;sra._mariane_azevedo@gmail.com;46059;Sra. Mariane Azevedo;12-01-1992;Masculino;nao;ceara;desenvolvedor web;desenvolvimento design desenvolvimento mobile desenvolvimento programacao;;;;;;;ensino superior completo;basico;basico;-;;desenvolvimento design desenvolvimento mobile desenvolvimento programacao
(11) 98823-3583;lider sap fi;clara_campos@gmail.com;46060;Clara Campos;0000-00-00;;;sao paulo;lider sap fi;;;;;;;;;;;-;;
;lider sap fi;emilly_nascimento@gmail.com;46061;Emilly Nascimento;0000-00-00;;;sao paulo;lider sap fi;;;;;;;;;;;-;;
;consultor sap sd;sr._josé_pedro_fernandes@gmail.com;46062;Sr. José Pedro Fernandes;0000-00-00;;;sao paulo;consultor sap sd;;;;;;;;;;;-;;
(86) 99431-3728;sap sd;davi_lucas_sampaio@gmail.com;46063;Davi Lucas Sampaio;0000-00-00;;;piaui;sap sd;;;;;;;;;;;-;;
(32) 98069-9173;sap isretail mm sd im abap;manuella_cavalcante@hotmail.com;46064;Manuella Cavalcante;01-11-1984;Masculino;nao;sao paulo;sap isretail mm sd im abap;relacionamento tecnico arquitetura desenvolvimento programacao governanca processos negocios projetos sap sistemas ferramentas suporte;;;;;;;pos graduacao incompleto;fluente;avancado;Francês - Avançado;financascontroladoria;relacionamento tecnico arquitetura desenvolvimento programacao governanca processos negocios projetos sap sistemas ferramentas suporte
(19) 95569-8985;analista de suporte;srta._clara_da_paz@hotmail.com;46065;Srta. Clara da Paz;0000-00-00;;;sao paulo;analista de suporte;;;;;;;;;;;-;;
(32) 98880-3309;analista de suporte;sr._raul_garcia@gmail.com;46066;Sr. Raul Garcia;0000-00-00;;;minas gerais;analista de suporte;;;;;;;;;;;-;;
(11) 99397-1699;analista financeiro;mirella_pereira@hotmail.com;46067;Mirella Pereira;03-04-1987;Feminino;nao;sao paulo;analista financeiro;administrativa financeira controladoria;;;;;;;ensino superior completo;basico;nenhum;Português - Fluente;gestao financeira;administrativa financeira controladoria
(11) 95250-5102;analista financeiro;dr._emanuel_da_luz@gmail.com;46068;Dr. Emanuel da Luz;19-03-1966;Masculino;nao;sao paulo;analista financeiro;financeira controladoria;;;;;;;ensino superior completo;basico;nenhum;-;gestao financeira;financeira controladoria
(21) 95328-4398;dba oracle;isis_oliveira@gmail.com;46069;Isis Oliveira;0000-00-00;;;paraiba;dba oracle;;;;;;;;;;;-;;
(91) 95329-5914;cientista de dados;benicio_cirino@gmail.com;46070;Benicio Cirino;0000-00-00;;;para;cientista de dados;;;;;;;;;;;-;;
(48) 92872-5981;lider de migracao de dados;fernando_cavalcante@gmail.com;46071;Fernando Cavalcante;0000-00-00;;;santa catarina;lider de migracao de dados;;;;;;;;;;;-;;
(43) 91999-5626;cientista de dados;sr._gael_henrique_camargo@gmail.com;46072;Sr. Gael Henrique Camargo;0000-00-00;;;parana;cientista de dados;;;;;;;;;;;-;;
(19) 93062-3650;cientista de dados;bryan_da_rosa@hotmail.com;46073;Bryan da Rosa;0000-00-00;;;sao paulo;cientista de dados;;;;;;;;;;;-;;
(11) 96136-4817;software engineer;benício_machado@hotmail.com;46074;Benício Machado;17-08-1995;Masculino;sim;sao paulo;software engineer;desenvolvimento programacao;;;;;;;ensino superior completo;avancado;fluente;-;ciencia da computacao;desenvolvimento programacao
(11) 92747-4070;analistadesenvolvedor senior;olívia_da_mota@gmail.com;46075;Olívia da Mota;10-07-1961;Masculino;;sao paulo;analistadesenvolvedor senior;desenvolvimento programacao;;;;;;;ensino superior completo;basico;nenhum;-;;desenvolvimento programacao
(41) 96865-7832;cientista de dados;calebe_barros@gmail.com;46076;Calebe Barros;0000-00-00;;;parana;cientista de dados;;;;;;;;;;;-;;
(16) 95128-3263;dynamics;anthony_câmara@hotmail.com;46077;Anthony Câmara;0000-00-00;;;sao paulo;dynamics;;;;;;;;;;;-;;
(11) 97075-1517;analista financeiro;ravi_guerra@gmail.com;46078;Ravi Guerra;27-02-1986;Masculino;nao;sao paulo;analista financeiro;financeira controladoria;;;;;;;ensino superior completo;avancado;nenhum;-;administracao de empresas;financeira controladoria
(55) 99349-5791;mainframe developer;sr._lucca_rios@gmail.com;46079;Sr. Lucca Rios;26-01-1966;Masculino;nao;sao paulo;mainframe developer;desenvolvimento programacao;;;;;;;ensino superior completo;intermediario;basico;Português - Fluente;matematica;desenvolvimento programacao
(11) 96845-2040;consultor sap co;dr._ravy_albuquerque@gmail.com;46080;Dr. Ravy Albuquerque;0000-00-00;;;sao paulo;consultor sap co;;;;;;;;;;;-;;
(31) 97250-4055;analista fiscal;gael_cavalcante@gmail.com;46081;Gael Cavalcante;12-06-1988;Masculino;nao;minas gerais;analista fiscal;financeira controladoria;;;;;;;ensino superior completo;basico;nenhum;-;ciencias contabeis;financeira controladoria
(11) 92925-8249;microsoft dynamics 365 customer;maria_júlia_da_luz@gmail.com;46082;Maria Júlia da Luz;0000-00-00;;;sao paulo;microsoft dynamics 365 customer;;;;;;;;;;;-;;
(13) 92820-2122;;henry_albuquerque@hotmail.com;46083;Henry Albuquerque;06-10-1999;Feminino;nao;sao paulo;;financeira controladoria;;;;;;;ensino superior completo;intermediario;basico;Francês - Intermediário;relacoes internacionais;financeira controladoria
(47) 92497-4019;dynamics;bella_silveira@gmail.com;46084;Bella Silveira;0000-00-00;;;santa catarina;dynamics;;;;;;;;;;;-;;
(21) 99120-6020;consultor sap basis;maria_clara_lopes@gmail.com;46085;Maria Clara Lopes;0000-00-00;;;rio de janeiro;consultor sap basis;;;;;;;;;;;-;;
(15) 96766-3858;ciso biso head de seguranca da informacao dpo risk manager;dr._anthony_mendonça@gmail.com;46086;Dr. Anthony Mendonça;0000-00-00;;;sao paulo;ciso biso head de seguranca da informacao dpo risk manager;;;;;;;;;;;-;;
(11) 96563-7320;consultor sap wm qm;sr._joão_sales@gmail.com;46087;Sr. João Sales;0000-00-00;;;sao paulo;consultor sap wm qm;;;;;;;;;;;-;;
;assistente administrativo;bianca_ribeiro@gmail.com;46088;Bianca Ribeiro;0000-00-00;;;rio de janeiro;assistente administrativo;;;;;;;;;;;-;;
(12) 97219-7520;analista de suporte;dra._isabella_da_paz@hotmail.com;46089;Dra. Isabella da Paz;02-07-2001;Masculino;nao;sao paulo;analista de suporte;suporte;;;;;;;ensino superior cursando;intermediario;basico;Português - Fluente;analise e desenvolvimento de sistemas;suporte
(11) 93960-4710;consultor executivo de governanca riscos e compliance;dr._luiz_otávio_machado@hotmail.com;46090;Dr. Luiz Otávio Machado;0000-00-00;;;sao paulo;consultor executivo de governanca riscos e compliance;;;;;;;;;;;-;;
(21) 93935-6097;analista de seguranca da informacao;eloah_cardoso@hotmail.com;46091;Eloah Cardoso;0000-00-00;;;rio de janeiro;analista de seguranca da informacao;;;;;;;;;;;-;;
(17) 92020-9208;suporte de ti;liz_melo@hotmail.com;46092;Liz Melo;25-12-2001;Masculino;nao;sao paulo;suporte de ti;suporte;;;;;;;ensino superior cursando;intermediario;nenhum;-;analise e desenvolvimento de sistemas;suporte
(11) 93806-3571;analista de dados;luiz_fernando_brito@gmail.com;46093;Luiz Fernando Brito;01-02-1993;Masculino;nao;sao paulo;analista de dados;banco dados;;;Power BI Python Scrum Excel;;;;ensino superior completo;avancado;basico;Português - Fluente;engenharia metalurgica e de materiais;banco dados
(11) 91439-7906;;sr._rodrigo_rezende@gmail.com;46094;Sr. Rodrigo Rezende;20-07-1975;Masculino;nao;sao paulo;;administrativa;;;;;;;ensino superior completo;nenhum;nenhum;Português -;administracao de empresas;administrativa
(11) 94358-4693;comprador;fernanda_pimenta@hotmail.com;46095;Fernanda Pimenta;20-01-1975;Masculino;nao;sao paulo;comprador;administrativa;;;;;;;ensino superior completo;basico;fluente;-;logistica;administrativa
(12) 93482-9594;analista de suporte;isabelly_fogaça@gmail.com;46096;Isabelly Fogaça;13-06-1995;Feminino;nao;sao paulo;analista de suporte;suporte;;;;;;;ensino superior cursando;intermediario;basico;-;;suporte
(22) 93367-3631;analista de suporte de ti;srta._antonella_costela@gmail.com;46097;Srta. Antonella Costela;03-10-1982;Masculino;nao;rio de janeiro;analista de suporte de ti;suporte;;;;;;;ensino superior incompleto;basico;nenhum;Português - Fluente;;suporte
(11) 94200-4392;gerente administrativo e financeiro;bruno_moraes@gmail.com;46098;Bruno Moraes;11-07-1983;Feminino;nao;sao paulo;gerente administrativo e financeiro;administrativa financeira controladoria;;;;;;;pos graduacao completo;basico;basico;-;administracao de empresas;administrativa financeira controladoria
(16) 96469-7845;estagiaria;zoe_barbosa@gmail.com;46099;Zoe Barbosa;04-07-1990;Feminino;nao;sao paulo;estagiaria;desenvolvimento programacao;;;;;;;pos graduacao completo;avancado;basico;Francês - Básico;analise e desenvolvimento de sistemas;desenvolvimento programacao
(45) 94175-5990;gerente de projetos de ti;jade_costela@hotmail.com;46100;Jade Costela;03-08-1994;Masculino;nao;parana;gerente de projetos de ti;administrativa;;;;;;;pos graduacao completo;basico;nenhum;-;gestao de projetos;administrativa
(51) 98631-8869;analista contabil senior;rebeca_castro@gmail.com;46101;Rebeca Castro;02-01-1979;Feminino;nao;rio grande do sul;analista contabil senior;financeira controladoria;;;;;;;pos graduacao completo;basico;basico;-;ciencias contabeis;financeira controladoria
(11) 97261-7524;secretaria executiva trilingue seni;henry_gabriel_peixoto@gmail.com;46102;Henry Gabriel Peixoto;15-03-1994;Feminino;nao;sao paulo;secretaria executiva trilingue seni;administrativa;;;;;;;pos graduacao completo;fluente;intermediario;-;planejamento estrategico;administrativa
(19) 99194-6998;analista de suporte jr;thomas_vargas@gmail.com;46103;Thomas Vargas;02-03-2000;Masculino;nao;sao paulo;analista de suporte jr;suporte;;;;;;;ensino superior completo;intermediario;nenhum;-;gestao da tecnologia da informacao;suporte
(11) 98728-9474;uxui designer;paulo_jesus@hotmail.com;46104;Paulo Jesus;28-06-1988;Masculino;sim;santa catarina;uxui designer;;;;;;;;pos graduacao completo;fluente;fluente;-;gestao de projetos;
(11) 92328-4022;analista financeirocontas a pagar;guilherme_garcia@hotmail.com;46105;Guilherme Garcia;28-02-1970;Masculino;nao;sao paulo;analista financeirocontas a pagar;administrativa financeira controladoria;;;;;;;ensino superior completo;intermediario;basico;-;ciencias contabeis;administrativa financeira controladoria
(11) 91471-3099;analista n3;dr._henrique_monteiro@gmail.com;46106;Dr. Henrique Monteiro;0000-00-00;;;sao paulo;analista n3;;;;;;;;;;;-;;
(11) 99945-5837;analista n3;dra._olivia_marques@hotmail.com;46107;Dra. Olivia Marques;0000-00-00;;;sao paulo;analista n3;;;;;;;;;;;-;;
(63) 97562-6403;dados;bárbara_macedo@gmail.com;46108;Bárbara Macedo;0000-00-00;;;sao paulo;dados;;;;;;;;;;;-;;
(31) 92916-7067;analista de seguranca da informacao senior;srta._ana_vitória_vargas@gmail.com;46109;Srta. Ana Vitória Vargas;0000-00-00;;;minas gerais;analista de seguranca da informacao senior;;;;;;;;;;;-;;
(19) 98007-4618;analista n3;ísis_fonseca@hotmail.com;46110;Ísis Fonseca;0000-00-00;;;sao paulo;analista n3;;;;;;;;;;;-;;
(21) 97246-4915;sap bwbiabapanalytics;sophie_cassiano@hotmail.com;46111;Sophie Cassiano;27-05-1966;Masculino;nao;;sap bwbiabapanalytics;processos negocios projetos qualidade testes sap;;;;;;;ensino superior completo;intermediario;basico;-;gestao empresarial;processos negocios projetos qualidade testes sap
(71) 99520-5801;sap tm;dante_câmara@gmail.com;46112;Dante Câmara;0000-00-00;;;bahia;sap tm;;;;;;;;;;;-;;
(91) 95805-1978;analista de dados;antônio_siqueira@gmail.com;46113;Antônio Siqueira;0000-00-00;;;para;analista de dados;;;;;;;;;;;-;;
(11) 94535-9411;consultor sap sd senior;maria_laura_rezende@hotmail.com;46114;Maria Laura Rezende;11-04-1992;Masculino;nao;sao paulo;consultor sap sd senior;sap;;;;;;;ensino superior completo;avancado;avancado;Português - Fluente;sistemas de informacao;sap
(11) 91201-8184;supply chain;isadora_borges@hotmail.com;46115;Isadora Borges;0000-00-00;;;sao paulo;supply chain;;;;;;;;;;;-;;
(19) 98847-5136;gerente de suprimentos;lucas_gabriel_almeida@gmail.com;46116;Lucas Gabriel Almeida;31-08-1980;Masculino;nao;sao paulo;gerente de suprimentos;administrativa;;;;;;;pos graduacao completo;intermediario;intermediario;-;administracao de empresas;administrativa
(71) 99006-1760;javakotlin;maya_ribeiro@hotmail.com;46117;Maya Ribeiro;0000-00-00;;;bahia;javakotlin;;;;;;;;;;;-;;
(41) 99262-7575;sap tm;sara_alves@gmail.com;46118;Sara Alves;0000-00-00;;;parana;sap tm;;;;;;;;;;;-;;
(37) 97244-8373;analista;pedro_pastor@gmail.com;46119;Pedro Pastor;23-12-1993;Masculino;nao;minas gerais;analista;administrativa financeira controladoria qualidade corporativa;;;;;;;pos graduacao cursando;intermediario;basico;Português - Fluente;;administrativa financeira controladoria qualidade corporativa
(11) 92259-1248;desenvolvedor salesforce;srta._rebeca_nunes@hotmail.com;46120;Srta. Rebeca Nunes;0000-00-00;;;sao paulo;desenvolvedor salesforce;;;;;;;;;;;-;;
(21) 98035-1397;gerente de projetos senior 12244;joão_pedro_duarte@hotmail.com;46121;João Pedro Duarte;27-02-1955;Masculino;;rio de janeiro;gerente de projetos senior 12244;processos negocios;;;LEAN SIX SIGMA PDCA;;;;pos graduacao completo;avancado;intermediario;-;marketing;processos negocios
